CustomerID,Timestamp,Channel,Direction,Status,Duration
93810.0,2024-06-10 05:28:25,email,inbound,delivered,0
42098.0,2024-06-09 00:00:00,email,inbound,sent,0
28289.0,2024-06-11 23:08:28,sms,inbound,failed,0
98696.0,2024-06-01 00:00:00,email,outbound,delivered,290
14165.0,2024-06-04 00:00:00,sms,outbound,answered,113
40495.0,2024-02-06 18:24:00,voice,inbound,,169
10851.0,2024-08-06 12:30:00,sms,outbound,delivered,0
23396.0,2024-06-06 00:00:00,sms,outbound,failed,0
59797.0,2024-06-09 02:13:53,email,inbound,sent,0
59615.0,2024-06-05 00:00:00,email,inbound,received,0
85674.0,2024-06-06 00:00:00,sms,inbound,received,150
47930.0,2024-02-06 07:03:00,email,outbound,answered,0
40512.0,2024-06-05 00:00:00,voice,inbound,delivered,0
56566.0,2024-06-04 07:56:53,email,outbound,answered,0
89840.0,2024-06-11 00:00:00,email,outbound,sent,0
80010.0,2024-10-06 09:57:00,sms,inbound,sent,0
93886.0,2024-06-08 00:00:00,voice,inbound,failed,0
17331.0,2024-06-08 14:59:25,email,outbound,sent,78
18675.0,2024-06-01 00:00:00,sms,inbound,failed,0
28301.0,2024-06-02 00:00:00,sms,outbound,answered,0
57447.0,2024-06-10 00:00:00,sms,inbound,received,0
21915.0,2024-06-10 18:14:58,email,outbound,delivered,0
24371.0,2024-06-06 16:24:41,email,inbound,,0
92240.0,2024-02-06 16:59:00,voice,outbound,received,0
88172.0,2024-06-11 00:00:00,voice,inbound,failed,137
82512.0,2024-06-06 00:00:00,sms,inbound,,116
99166.0,2024-06-09 00:00:00,sms,outbound,answered,0
66985.0,2024-06-06 17:19:39,voice,inbound,sent,0
69470.0,2024-06-08 00:00:00,email,outbound,,0
44522.0,2024-08-06 09:41:00,email,inbound,received,0
76542.0,2024-06-08 20:38:32,email,outbound,delivered,0
93748.0,2024-06-09 00:00:00,email,outbound,delivered,64
31174.0,2024-02-06 09:59:00,voice,inbound,delivered,0
50306.0,2024-03-06 20:23:00,voice,outbound,,0
37760.0,2024-06-04 09:28:48,voice,outbound,delivered,0
25860.0,2024-06-11 00:00:00,sms,inbound,received,0
39451.0,2024-06-02 00:00:00,sms,outbound,sent,0
54313.0,2024-06-07 00:00:00,email,inbound,delivered,0
87128.0,2024-04-06 08:21:00,email,outbound,answered,0
92719.0,2024-02-06 02:42:00,email,outbound,failed,0
40007.0,2024-06-08 18:54:35,sms,outbound,delivered,0
19287.0,2024-03-06 22:56:00,voice,outbound,delivered,0
38080.0,2024-01-06 19:59:00,email,outbound,,0
63354.0,2024-04-06 23:41:00,sms,outbound,sent,0
22363.0,2024-06-10 13:42:32,sms,outbound,,0
17100.0,2024-06-02 08:01:06,email,inbound,delivered,0
54473.0,2024-05-06 08:20:00,email,outbound,sent,69
42591.0,2024-06-08 00:00:00,sms,outbound,,0
70637.0,2024-06-07 09:14:00,email,inbound,delivered,0
16630.0,2024-06-10 00:00:00,sms,outbound,received,63
22224.0,2024-06-07 05:29:29,email,inbound,received,0
17685.0,2024-06-06 13:24:52,voice,outbound,sent,0
30289.0,2024-06-01 21:24:20,email,outbound,,0
48890.0,2024-04-06 21:49:00,voice,outbound,received,0
17665.0,2024-01-06 19:07:00,voice,outbound,sent,209
51104.0,2024-06-04 00:00:00,email,inbound,sent,0
17455.0,2024-06-02 04:53:16,email,inbound,sent,0
34356.0,2024-11-06 08:23:00,email,outbound,delivered,0
98501.0,2024-11-06 18:40:00,sms,inbound,sent,0
62923.0,2024-06-06 00:00:00,email,inbound,delivered,0
91183.0,2024-06-09 20:30:54,voice,inbound,failed,0
44179.0,2024-06-04 00:00:00,voice,inbound,sent,152
61876.0,2024-06-01 19:33:14,email,inbound,delivered,0
19508.0,2024-06-02 00:00:00,voice,outbound,delivered,0
70068.0,2024-10-06 20:26:00,voice,outbound,answered,0
19602.0,2024-06-07 18:03:17,sms,inbound,sent,0
19016.0,2024-06-05 00:00:00,voice,inbound,answered,0
90173.0,2024-06-05 06:25:27,voice,inbound,failed,0
25129.0,2024-06-05 00:00:00,sms,outbound,delivered,0
82512.0,2024-06-02 00:00:00,voice,inbound,delivered,0
54942.0,2024-06-11 06:10:09,voice,inbound,sent,0
42914.0,2024-06-04 00:00:00,sms,outbound,received,0
46265.0,2024-01-06 01:46:00,email,outbound,,240
83519.0,2024-02-06 02:43:00,voice,outbound,answered,211
29536.0,2024-06-06 00:00:00,email,inbound,delivered,0
58393.0,2024-06-02 00:00:00,voice,outbound,delivered,0
66333.0,2024-06-04 00:00:00,voice,inbound,failed,0
57795.0,2024-06-11 17:17:31,voice,inbound,failed,0
56898.0,2024-02-06 21:18:00,voice,outbound,failed,0
99399.0,2024-06-10 03:44:43,sms,outbound,failed,29
97416.0,2024-06-09 04:18:27,voice,outbound,delivered,0
13248.0,2024-06-03 14:47:20,email,inbound,delivered,0
97806.0,2024-06-02 00:00:00,email,outbound,sent,196
39154.0,2024-06-05 19:07:43,sms,inbound,answered,9
50001.0,2024-04-06 15:47:00,voice,outbound,sent,0
39219.0,2024-10-06 07:30:00,email,outbound,delivered,66
96511.0,2024-06-10 00:00:00,voice,inbound,sent,0
46517.0,2024-06-02 10:56:52,voice,outbound,failed,0
13617.0,2024-06-07 00:00:00,voice,inbound,answered,0
15014.0,2024-06-06 07:03:29,email,outbound,delivered,0
67154.0,2024-06-04 12:19:38,sms,outbound,answered,130
78146.0,2024-06-05 21:58:27,email,outbound,sent,24
48752.0,2024-06-07 08:36:54,email,inbound,answered,0
98777.0,2024-06-03 00:00:00,voice,outbound,delivered,144
63225.0,2024-06-01 22:14:49,email,outbound,,0
67954.0,2024-06-02 00:00:00,email,outbound,received,0
32241.0,2024-08-06 07:27:00,email,inbound,answered,1
39444.0,2024-06-09 00:00:00,email,inbound,delivered,261
29313.0,2024-06-11 00:00:00,voice,inbound,delivered,0
92544.0,2024-06-10 00:00:00,voice,outbound,,0
62383.0,2024-06-05 06:30:38,voice,outbound,failed,0
38683.0,2024-06-01 00:00:00,sms,inbound,delivered,0
16582.0,2024-06-01 22:20:58,email,inbound,sent,0
92149.0,2024-01-06 11:24:00,sms,outbound,sent,0
80798.0,2024-06-05 00:00:00,voice,outbound,,249
28136.0,2024-06-09 05:44:35,sms,inbound,answered,0
30028.0,2024-06-01 00:00:00,sms,outbound,received,0
64496.0,2024-06-05 01:05:55,email,outbound,received,0
61049.0,2024-06-05 00:00:00,voice,inbound,answered,285
72518.0,2024-06-02 13:33:35,sms,outbound,sent,0
80545.0,2024-10-06 20:51:00,email,outbound,,0
73993.0,2024-06-09 03:11:07,voice,outbound,sent,0
73654.0,2024-06-07 00:00:00,email,outbound,sent,0
61645.0,2024-03-06 07:55:00,email,outbound,received,0
33819.0,2024-06-11 05:57:27,sms,outbound,delivered,0
52906.0,2024-06-09 00:00:00,voice,outbound,answered,0
43065.0,2024-03-06 04:40:00,voice,inbound,failed,0
55870.0,2024-05-06 10:06:00,email,inbound,sent,58
95215.0,2024-06-06 00:00:00,sms,outbound,answered,113
14067.0,2024-03-06 20:09:00,email,outbound,delivered,0
91439.0,2024-11-06 23:18:00,sms,outbound,failed,0
72070.0,2024-06-06 00:00:00,email,outbound,,0
58351.0,2024-02-06 23:12:00,email,inbound,sent,0
89415.0,2024-10-06 17:23:00,voice,outbound,failed,0
61990.0,2024-06-07 17:31:18,email,outbound,sent,0
19961.0,2024-06-09 15:12:37,email,inbound,sent,255
99687.0,2024-10-06 06:16:00,voice,outbound,answered,0
74251.0,2024-06-11 00:00:00,email,outbound,answered,0
52245.0,2024-06-11 00:00:00,email,inbound,sent,0
69087.0,2024-06-02 16:04:43,sms,outbound,,0
54092.0,2024-09-06 10:44:00,voice,outbound,failed,0
77715.0,2024-06-02 00:00:00,voice,outbound,answered,0
21221.0,2024-06-03 00:00:00,voice,outbound,delivered,74
68743.0,2024-06-01 18:17:38,email,outbound,delivered,74
42951.0,2024-06-07 00:00:00,sms,inbound,answered,160
25814.0,2024-06-01 19:42:46,sms,outbound,answered,0
35105.0,2024-06-05 00:00:00,sms,inbound,failed,0
23176.0,2024-05-06 04:25:00,email,outbound,delivered,0
48829.0,2024-06-09 21:29:04,email,inbound,,88
57301.0,2024-06-10 00:00:00,voice,inbound,delivered,193
49618.0,2024-06-02 14:51:30,voice,outbound,sent,0
80010.0,2024-06-05 00:00:00,voice,outbound,delivered,0
45954.0,2024-10-06 20:57:00,sms,outbound,delivered,0
23446.0,2024-08-06 16:00:00,email,outbound,sent,0
34164.0,2024-06-03 10:43:03,voice,outbound,delivered,0
24953.0,2024-06-11 18:00:18,email,inbound,delivered,0
21164.0,2024-10-06 03:24:00,voice,outbound,sent,0
89471.0,2024-06-11 11:06:57,email,inbound,received,0
44687.0,2024-05-06 02:45:00,sms,outbound,failed,0
32782.0,2024-06-05 00:00:00,sms,outbound,delivered,0
30517.0,2024-06-10 17:21:04,email,inbound,failed,0
48175.0,2024-08-06 07:28:00,voice,outbound,received,164
19329.0,2024-06-01 00:00:00,email,inbound,answered,0
